movie,director,relation
五十度飞 Fifty Shades Freed,詹姆斯·弗雷,DirectBy
北漂爱情故事,陈昊义,DirectBy
导盲犬小Q クイール,崔洋一,DirectBy
心里的声音 마음의 소리,河炳勋,DirectBy
遇见王沥川,陈铭章,DirectBy
小鹿斑比 Bambi,戴维·汉德,DirectBy
小鹿斑比 Bambi,詹姆斯·阿尔格,DirectBy
小鹿斑比 Bambi,塞缪尔·阿姆斯特朗,DirectBy
小鹿斑比 Bambi,格雷厄姆·海德,DirectBy
小鹿斑比 Bambi,比尔·罗伯茨,DirectBy
小鹿斑比 Bambi,保罗·萨特菲尔德,DirectBy
小鹿斑比 Bambi,诺曼·莱特,DirectBy
天才瑞普利 The Talented Mr. Ripley,安东尼·明格拉,DirectBy
偷心 Closer,迈克·尼科尔斯,DirectBy
铁齿铜牙纪晓岚,刘家成,DirectBy
蓝莓之夜 My Blueberry Nights,王家卫,DirectBy
红色,杨磊,DirectBy
顽主,米家山,DirectBy
全城高考,钟少雄,DirectBy
布鲁克林 Brooklyn,约翰·克劳利,DirectBy
羞耻 法国版 第三季 Skam France Season 3,大卫·霍雷格,DirectBy
三峡好人,贾樟柯,DirectBy
云水谣,尹力,DirectBy
盗钥匙的方法 鍵泥棒のメソッド,内田贤治,DirectBy
尼罗河上的惨案 Death on the Nile,约翰·吉勒明,DirectBy
浓情巧克力 Chocolat,拉斯·霍尔斯道姆,DirectBy
唐顿庄园  第一季 Downton Abbey Season 1,布莱恩·派西维尔,DirectBy
唐顿庄园  第一季 Downton Abbey Season 1,本·博尔特,DirectBy
唐顿庄园  第一季 Downton Abbey Season 1,布莱恩·凯利,DirectBy
法医秦明,徐昂,DirectBy
灾难艺术家 The Disaster Artist,詹姆斯·弗兰科,DirectBy
圣诞夜惊魂 The Nightmare Before Christmas,亨利·塞利克,DirectBy
余罪 第二季,张睿,DirectBy
22年后的自白 22年目の告白 私が殺人犯です,入江悠,DirectBy
花与爱丽丝 花とアリス,岩井俊二,DirectBy
冷山 Cold Mountain,安东尼·明格拉,DirectBy
黑镜：圣诞特别篇 Black Mirror: White Christmas,卡尔·蒂贝茨,DirectBy
关云长,麦兆辉,DirectBy
关云长,庄文强,DirectBy
麦兜故事 麥兜故事,袁建滔,DirectBy
刺猬的优雅 Le hérisson,莫娜·阿查切,DirectBy
我的父亲母亲,张艺谋,DirectBy
夜行动物 Nocturnal Animals,汤姆·福特,DirectBy
宫,李慧珠,DirectBy
深夜食堂,松冈锭司,DirectBy
深夜食堂,山下敦弘,DirectBy
深夜食堂,及川拓郎,DirectBy
城市猎人 시티헌터,陈赫,DirectBy
东京女子图鉴 東京女子図鑑,棚田由纪,DirectBy
她 Elle,保罗·范霍文,DirectBy
寻枪,陆川,DirectBy
登堂入室 Dans la maison,弗朗索瓦·欧容,DirectBy
火柴人 Matchstick Men,雷德利·斯科特,DirectBy
不成问题的问题,梅峰,DirectBy
普罗旺斯的夏天 Avis de mistral,罗丝·博斯,DirectBy
小森林 리틀 포레스트,林顺礼,DirectBy
大军师司马懿之军师联盟,张永新,DirectBy
金钱世界 All the Money in the World,雷德利·斯科特,DirectBy
绝命毒师  第五季 Breaking Bad Season 5,迈克尔·斯劳韦斯,DirectBy
绝命毒师  第五季 Breaking Bad Season 5,米歇尔·麦克拉伦,DirectBy
绝命毒师  第五季 Breaking Bad Season 5,亚当·伯恩斯坦,DirectBy
绝命毒师  第五季 Breaking Bad Season 5,莱恩·约翰逊,DirectBy
绝命毒师  第五季 Breaking Bad Season 5,乔治·马斯塔斯,DirectBy
绝命毒师  第五季 Breaking Bad Season 5,科林·巴克西,DirectBy
绝命毒师  第五季 Breaking Bad Season 5,托马斯·施纳泽,DirectBy
绝命毒师  第五季 Breaking Bad Season 5,布莱恩·科兰斯顿,DirectBy
绝命毒师  第五季 Breaking Bad Season 5,山姆·卡特林,DirectBy
绝命毒师  第五季 Breaking Bad Season 5,皮特·古尔德,DirectBy
绝命毒师  第五季 Breaking Bad Season 5,文斯·吉里根,DirectBy
出租车司机 Taxi Driver,马丁·斯科塞斯,DirectBy
小兵张嘎,崔嵬,DirectBy
小兵张嘎,欧阳红樱,DirectBy
超感猎杀：完结特别篇 Sense8 Finale Special,拉娜·沃卓斯基,DirectBy
天国王朝 Kingdom of Heaven,雷德利·斯科特,DirectBy
边城,凌子风,DirectBy
鸣梁海战 명량,金韩民,DirectBy
"我，花样女王 I, Tonya",克雷格·吉勒斯佩,DirectBy
假结婚 The Proposal,安妮·弗莱彻,DirectBy
白雪公主之魔镜魔镜 Mirror Mirror,塔西姆·辛,DirectBy
换子疑云 Changeling,克林特·伊斯特伍德,DirectBy
阿拉姜色,松太加,DirectBy
羞耻 第四季 Skam Sesong 4,尤莉娅·安德姆,DirectBy
惊变28天 28 Days Later...,丹尼·博伊尔,DirectBy
白夜行,深川栄洋,DirectBy
赛末点 Match Point,伍迪·艾伦,DirectBy
K星异客 K-PAX,伊恩·索夫特雷,DirectBy
东京攻略 東京攻略,马楚成,DirectBy
内在美 뷰티 인사이드,白宗烈,DirectBy
危机13小时 13 Hours: The Secret Soldiers of Benghazi,迈克尔·贝,DirectBy
不一样的天空 What's Eating Gilbert Grape,拉斯·霍尔斯道姆,DirectBy
杉杉来了,刘俊杰,DirectBy
上帝之国 God's Own Country,弗朗西斯·李,DirectBy
情色小说家 ポルノグラファー,三木康一郎,DirectBy
决战食神,叶伟民,DirectBy
楚乔传,吴锦源,DirectBy
奸臣 간신,闵奎东,DirectBy
无心法师,林玉芬,DirectBy
无心法师,高林豹,DirectBy
茜茜公主 Sissi,恩斯特·马里施卡,DirectBy
女朋友○男朋友,杨雅喆,DirectBy
名姝 第一季 Harlots Season 1,科奇·吉尔佐,DirectBy
名姝 第一季 Harlots Season 1,琪娜·木杨,DirectBy
午夜巴塞罗那 Vicky Cristina Barcelona,伍迪·艾伦,DirectBy
"杀了我治愈我 킬미, 힐미",金镇满,DirectBy
"杀了我治愈我 킬미, 힐미",金大镇,DirectBy
我的英雄学院 第2季 僕のヒーローアカデミア 第2期,长崎健司,DirectBy
赛德克·巴莱(下)：彩虹桥 賽德克·巴萊(下)彩虹橋,魏德圣,DirectBy
词典 말모이,严宥娜,DirectBy
羞耻 第二季 Skam Sesong 2,尤莉娅·安德姆,DirectBy
理发师陶德 Sweeney Todd: The Demon Barber of Fleet Street,蒂姆·波顿,DirectBy
云中行走 The Walk,罗伯特·泽米吉斯,DirectBy
利兹与青鸟 リズと青い鳥,山田尚子,DirectBy
玛丽女王 Mary Queen of Scots,乔西·洛克,DirectBy
白鹿原,刘进,DirectBy
喜马拉亚星,韦家辉,DirectBy
单身男子 A Single Man,汤姆·福特,DirectBy
雄狮 Lion,加斯·戴维斯,DirectBy
天坑鹰猎,成志超,DirectBy
天坑鹰猎,戴小哲,DirectBy
天坑鹰猎,田少波,DirectBy
一起同过窗 第一季,毕鑫业,DirectBy
嫌疑人X的献身 용의자X,方银振,DirectBy
不可思异,孙周,DirectBy
飞越老人院,张杨,DirectBy
菲利普船长 Captain Phillips,保罗·格林格拉斯,DirectBy
机械师 The Machinist,布拉德·安德森,DirectBy
天使之城 City of Angels,布拉德·塞伯宁,DirectBy
边境杀手2：边境战士 Sicario: Day of the Soldado,斯特法诺·索利马,DirectBy
挪威的森林 ノルウェイの森,陈英雄,DirectBy
为了N Nのために,冢原亚由子,DirectBy
为了N Nのために,山本刚义,DirectBy
为了N Nのために,阿南昭宏,DirectBy
雍正王朝,胡玫,DirectBy
天才捕手 Genius,迈克尔·格兰达吉,DirectBy
天真派：武林外传,潘礼平,DirectBy
天真派：武林外传,邹江,DirectBy
天真派：武林外传,尹俊欢,DirectBy
闯关东,张新建,DirectBy
闯关东,孔笙,DirectBy
红雀 Red Sparrow,弗朗西斯·劳伦斯,DirectBy
幕后之王,李骏,DirectBy
叶问：终极一战 葉問：終極一戰,邱礼涛,DirectBy
那年花开月正圆,丁黑,DirectBy
死于明日 Die Tomorrow,纳瓦彭·坦荣瓜塔纳利,DirectBy
京城81号2 京城81号Ⅱ,钱人豪,DirectBy
天衣无缝,李路,DirectBy
公民凯恩 Citizen Kane,奥逊·威尔斯,DirectBy
我是你妈,张骁,DirectBy
千里走单骑,张艺谋,DirectBy
人间中毒 인간중독,金大佑,DirectBy
巴霍巴利王2：终结 Baahubali 2: The Conclusion,S·S·拉贾穆里,DirectBy
奎迪 Creed,瑞恩·库格勒,DirectBy
胜者即是正义 2014SP リーガルハイ・スペシャル,石川淳一,DirectBy
云的彼端，约定的地方 雲のむこう、約束の場所,新海诚,DirectBy
我和厄尔以及将死的女孩 Me and Earl and the Dying Girl,阿方索·戈麦斯-雷洪,DirectBy
王牌对王牌 The Negotiator,F·加里·格雷,DirectBy
我叫金三顺 내 이름은 김삼순,金尹哲,DirectBy
遇见你真好,顾长卫,DirectBy
三毛流浪记,赵明,DirectBy
三毛流浪记,严恭,DirectBy
将夜,杨阳,DirectBy
英雄本色2018,丁晟,DirectBy
绝命毒师  第三季 Breaking Bad Season 3,布莱恩·科兰斯顿,DirectBy
绝命毒师  第三季 Breaking Bad Season 3,亚当·伯恩斯坦,DirectBy
绝命毒师  第三季 Breaking Bad Season 3,米歇尔·麦克拉伦,DirectBy
绝命毒师  第三季 Breaking Bad Season 3,斯科特·怀南特,DirectBy
绝命毒师  第三季 Breaking Bad Season 3,乔韩·瑞克,DirectBy
绝命毒师  第三季 Breaking Bad Season 3,约翰·施班,DirectBy
绝命毒师  第三季 Breaking Bad Season 3,科林·巴克西,DirectBy
绝命毒师  第三季 Breaking Bad Season 3,迈克尔·斯劳韦斯,DirectBy
绝命毒师  第三季 Breaking Bad Season 3,莱恩·约翰逊,DirectBy
绝命毒师  第三季 Breaking Bad Season 3,文斯·吉里根,DirectBy
闯入者,王小帅,DirectBy
美国众神 第二季 American Gods Season 2,克里斯·拜恩,DirectBy
雇佣人生 El Empleo,SantiagoGrasso,DirectBy
耀眼 눈이 부시게,金锡允,DirectBy
美国骗局 American Hustle,大卫·O·拉塞尔,DirectBy
饭局也疯狂,尚敬,DirectBy
泄密者 洩密者們,邱礼涛,DirectBy
时时刻刻 The Hours,史蒂芬·戴德利,DirectBy
约定的梦幻岛 約束のネバーランド,神户守,DirectBy
你的婚礼 너의 결혼식,李锡根,DirectBy
茶馆,谢添,DirectBy
绝命毒师  第二季 Breaking Bad Season 2,亚当·伯恩斯坦,DirectBy
绝命毒师  第二季 Breaking Bad Season 2,米歇尔·麦克拉伦,DirectBy
绝命毒师  第二季 Breaking Bad Season 2,布莱恩·科兰斯顿,DirectBy
绝命毒师  第二季 Breaking Bad Season 2,查尔斯·海德,DirectBy
绝命毒师  第二季 Breaking Bad Season 2,泰瑞·麦克多诺,DirectBy
绝命毒师  第二季 Breaking Bad Season 2,约翰·达尔,DirectBy
绝命毒师  第二季 Breaking Bad Season 2,乔韩·瑞克,DirectBy
绝命毒师  第二季 Breaking Bad Season 2,彼得·梅达克,DirectBy
绝命毒师  第二季 Breaking Bad Season 2,费利克斯·恩里克斯·阿尔科拉,DirectBy
绝命毒师  第二季 Breaking Bad Season 2,菲尔·亚伯拉罕,DirectBy
绝命毒师  第二季 Breaking Bad Season 2,科林·巴克西,DirectBy
蛋炒饭,陈宇,DirectBy
乌云背后的幸福线 Silver Linings Playbook,大卫·O·拉塞尔,DirectBy
漂亮男孩 Beautiful Boy,菲力斯·范·古宁根,DirectBy
祈祷落幕时 祈りの幕が下りる時,福泽克雄,DirectBy
鹿鼎记 鹿鼎記,李添胜,DirectBy
一本漫画闯天涯 一本漫畫闖天涯,梁家仁,DirectBy
本回家了 Ben is Back,彼得·赫奇斯,DirectBy
大小谎言 第一季 Big Little Lies Season 1,让-马克·瓦雷,DirectBy
蜂鸟特攻 Hummingbird,斯蒂文·奈特,DirectBy
立春,顾长卫,DirectBy
会计刺客 The Accountant,加文·欧康诺,DirectBy
巨额来电,彭顺,DirectBy
大独裁者 The Great Dictator,查理·卓别林,DirectBy
碧海蓝天 Le grand bleu,吕克·贝松,DirectBy
秋菊打官司,张艺谋,DirectBy
梅兰芳,陈凯歌,DirectBy
红河谷,冯小宁,DirectBy
华丽上班族 華麗上班族,杜琪峰,DirectBy
蓝色茉莉 Blue Jasmine,伍迪·艾伦,DirectBy
柯莱特 Colette,沃什·韦斯特摩兰,DirectBy
"喜欢，轻吻，快跑 Plaire, aimer et courir vite",克里斯托夫·奥诺雷,DirectBy
星愿 星願,马楚成,DirectBy
搞笑一家人 거침없이 하이킥!,金秉旭,DirectBy
搞笑一家人 거침없이 하이킥!,金英基,DirectBy
夏目友人帐 第二季 続 夏目友人帳,大森贵弘,DirectBy
间谍同盟 Allied,罗伯特·泽米吉斯,DirectBy
陈翔六点半之铁头无敌,陈翔,DirectBy
一吻定情2 イタズラなKiss2～Love in TOKYO,小中和哉,DirectBy
一吻定情2 イタズラなKiss2～Love in TOKYO,二宮崇,DirectBy
大宋提刑官,阚卫平,DirectBy
苏乞儿 蘇乞兒,袁和平,DirectBy
使女的故事 第一季 The Handmaid's Tale Season 1,瑞德·穆拉诺,DirectBy
使女的故事 第一季 The Handmaid's Tale Season 1,麦克·巴克,DirectBy
使女的故事 第一季 The Handmaid's Tale Season 1,凯特·丹尼斯,DirectBy
使女的故事 第一季 The Handmaid's Tale Season 1,弗洛莉娅·塞吉斯蒙迪,DirectBy
使女的故事 第一季 The Handmaid's Tale Season 1,卡莉·斯考格兰德,DirectBy
点球成金 Moneyball,贝尼特·米勒,DirectBy
十七岁的单车,王小帅,DirectBy
魔鬼代言人 The Devil's Advocate,泰勒·海克福德,DirectBy
五亿探长雷洛传1：雷老虎 五億探長雷洛傳：雷老虎,刘国昌,DirectBy
人类之子 Children of Men,阿方索·卡隆,DirectBy
万有引力,赵天宇,DirectBy
空军一号 Air Force One,沃尔夫冈·彼德森,DirectBy
私人战争 A Private War,马修·海涅曼,DirectBy
请回答1997 응답하라1997,申源浩,DirectBy
迷雾 미스티,毛完日,DirectBy
盗火线 Heat,迈克尔·曼,DirectBy
