movie,director,relation
窃听风暴 Das Leben der Anderen,弗洛里安·亨克尔·冯·多纳斯马尔克,DirectBy
水形物语 The Shape of Water,吉尔莫·德尔·托罗,DirectBy
菊次郎的夏天 菊次郎の夏,北野武,DirectBy
记忆碎片 Memento,克里斯托弗·诺兰,DirectBy
小时代,郭敬明,DirectBy
心迷宫,忻钰坤,DirectBy
哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,阿方索·卡隆,DirectBy
素媛 소원,李濬益,DirectBy
唐山大地震,冯小刚,DirectBy
同桌的妳,郭帆,DirectBy
音乐之声 The Sound of Music,罗伯特·怀斯,DirectBy
教父3 The Godfather: Part III,弗朗西斯·福特·科波拉,DirectBy
银翼杀手2049 Blade Runner 2049,丹尼斯·维伦纽瓦,DirectBy
致命ID Identity,詹姆斯·曼高德,DirectBy
重庆森林 重慶森林,王家卫,DirectBy
垫底辣妹 ビリギャル,土井裕泰,DirectBy
非自然死亡 アンナチュラル,冢原亚由子,DirectBy
非自然死亡 アンナチュラル,竹村谦太郎,DirectBy
非自然死亡 アンナチュラル,村尾嘉昭,DirectBy
哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1,大卫·叶茨,DirectBy
嫌疑人X的献身,苏有朋,DirectBy
绣春刀,路阳,DirectBy
乱世佳人 Gone with the Wind,维克多·弗莱明,DirectBy
乱世佳人 Gone with the Wind,乔治·库克,DirectBy
乱世佳人 Gone with the Wind,山姆·伍德,DirectBy
一条狗的使命 A Dog's Purpose,拉斯·霍尔斯道姆,DirectBy
被嫌弃的松子的一生 嫌われ松子の一生,中岛哲也,DirectBy
画皮 畫皮,陈嘉上,DirectBy
画皮 畫皮,钱永强,DirectBy
恋恋笔记本 The Notebook,尼克·卡萨维茨,DirectBy
死亡诗社 Dead Poets Society,彼得·威尔,DirectBy
哈利·波特与混血王子 Harry Potter and the Half-Blood Prince,大卫·叶茨,DirectBy
猩球崛起 Rise of the Planet of the Apes,鲁伯特·瓦耶特,DirectBy
达拉斯买家俱乐部 Dallas Buyers Club,让-马克·瓦雷,DirectBy
亲爱的,陈可辛,DirectBy
卧虎藏龙 臥虎藏龍,李安,DirectBy
断背山 Brokeback Mountain,李安,DirectBy
致我们终将逝去的青春,赵薇,DirectBy
7号房的礼物 7번방의 선물,李焕庆,DirectBy
一代宗师 一代宗師,王家卫,DirectBy
我是大哥大 今日から俺は！！,福田雄一,DirectBy
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,马克·赫尔曼,DirectBy
摩登时代 Modern Times,查理·卓别林,DirectBy
两小无猜 Jeux d'enfants,杨·塞谬尔,DirectBy
春光乍泄 春光乍洩,王家卫,DirectBy
告白,中岛哲也,DirectBy
穿越时空的少女 時をかける少女,细田守,DirectBy
我是传奇 I Am Legend,弗朗西斯·劳伦斯,DirectBy
大佛普拉斯,黄信尧,DirectBy
神话,唐季礼,DirectBy
小时代2：青木时代,郭敬明,DirectBy
新警察故事,陈木胜,DirectBy
猩球崛起2：黎明之战 Dawn of the Planet of the Apes,马特·里夫斯,DirectBy
色，戒,李安,DirectBy
被解救的姜戈 Django Unchained,昆汀·塔伦蒂诺,DirectBy
辩护人 변호인,杨宇硕,DirectBy
荒岛余生 Cast Away,罗伯特·泽米吉斯,DirectBy
海边的曼彻斯特 Manchester by the Sea,肯尼思·洛纳根,DirectBy
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",盖·里奇,DirectBy
闪灵 The Shining,斯坦利·库布里克,DirectBy
阳光姐妹淘 써니,姜炯哲,DirectBy
他其实没那么喜欢你 He's Just Not That Into You,肯·卡皮斯,DirectBy
悟空传,郭子健,DirectBy
反贪风暴3 L風暴,林德禄,DirectBy
饮食男女 飲食男女,李安,DirectBy
起跑线 Hindi Medium,萨基特·乔杜里,DirectBy
满城尽带黄金甲,张艺谋,DirectBy
飞越疯人院 One Flew Over the Cuckoo's Nest,米洛斯·福尔曼,DirectBy
一个叫欧维的男人决定去死 En man som heter Ove,汉内斯·赫尔姆,DirectBy
无间道3：终极无间 無間道III 終極無間,刘伟强,DirectBy
